artist,like,play,skip,engagement_rate,skip_rate
Roberto Rosso,2,11,1,0.18181818181818182,0.09090909090909091
Hinder,4,22,4,0.18181818181818182,0.18181818181818182
Rothchild,2,11,1,0.18181818181818182,0.09090909090909091
Starship,4,22,4,0.18181818181818182,0.18181818181818182
Harry Chapin,2,11,2,0.18181818181818182,0.18181818181818182
Ebo Taylor,2,11,0,0.18181818181818182,0.0
Sterkøl,2,11,3,0.18181818181818182,0.2727272727272727
falcxne,2,11,1,0.18181818181818182,0.09090909090909091
Ton! Dyson,2,11,2,0.18181818181818182,0.18181818181818182
Maty Noyes,2,11,0,0.18181818181818182,0.0
SlYder,2,11,1,0.18181818181818182,0.09090909090909091
Camilo,4,22,5,0.18181818181818182,0.22727272727272727
Adro,2,11,2,0.18181818181818182,0.18181818181818182
Steve Brian,2,11,1,0.18181818181818182,0.09090909090909091
Blacklite District,4,22,2,0.18181818181818182,0.09090909090909091
Elefante,2,11,3,0.18181818181818182,0.2727272727272727
Inkyz,2,11,3,0.18181818181818182,0.2727272727272727
Big Soto,2,11,3,0.18181818181818182,0.2727272727272727
Dú Maroc,2,11,1,0.18181818181818182,0.09090909090909091
Big Pun,6,33,1,0.18181818181818182,0.030303030303030304
J-King y Maximan,2,11,1,0.18181818181818182,0.09090909090909091
DJ Goozo,2,11,0,0.18181818181818182,0.0
Italian Somali,2,11,3,0.18181818181818182,0.2727272727272727
Rasmus Faber,2,11,3,0.18181818181818182,0.2727272727272727
SHAED,4,22,2,0.18181818181818182,0.09090909090909091
Stone Temple Pilots,2,11,0,0.18181818181818182,0.0
Chardy,2,11,0,0.18181818181818182,0.0
Vicetone,16,88,17,0.18181818181818182,0.19318181818181818
"George Tandy, Jr.",2,11,1,0.18181818181818182,0.09090909090909091
Dopebwoy,2,11,1,0.18181818181818182,0.09090909090909091
Brando,2,11,4,0.18181818181818182,0.36363636363636365
Middle Class Rut,2,11,1,0.18181818181818182,0.09090909090909091
Destructo,2,11,0,0.18181818181818182,0.0
Sarius,2,11,0,0.18181818181818182,0.0
Dem Franchize Boyz,2,11,3,0.18181818181818182,0.2727272727272727
Armando Infante,2,11,2,0.18181818181818182,0.18181818181818182
KRS-One,2,11,2,0.18181818181818182,0.18181818181818182
KOYO,2,11,0,0.18181818181818182,0.0
The Autumn Defense,2,11,2,0.18181818181818182,0.18181818181818182
TINI,6,33,8,0.18181818181818182,0.24242424242424243
KAYTRANADA,18,99,10,0.18181818181818182,0.10101010101010101
Porcupine Tree,4,22,2,0.18181818181818182,0.09090909090909091
Kawe,2,11,0,0.18181818181818182,0.0
Xassa,2,11,0,0.18181818181818182,0.0
The Beatnuts,2,11,0,0.18181818181818182,0.0
Joel Adams,2,11,0,0.18181818181818182,0.0
BAARD,2,11,2,0.18181818181818182,0.18181818181818182
Maggie Rogers,4,22,0,0.18181818181818182,0.0
Maisie Peters,2,11,0,0.18181818181818182,0.0
ARTY,10,55,5,0.18181818181818182,0.09090909090909091
John C,2,11,0,0.18181818181818182,0.0
Longfield & Super Skeleton,4,22,3,0.18181818181818182,0.13636363636363635
Josh Butler,2,11,1,0.18181818181818182,0.09090909090909091
Christian Kuria,2,11,1,0.18181818181818182,0.09090909090909091
Eraserheads,6,33,7,0.18181818181818182,0.21212121212121213
KLIMENT,4,22,2,0.18181818181818182,0.09090909090909091
KVR,2,11,0,0.18181818181818182,0.0
Peer Kusiv,2,11,0,0.18181818181818182,0.0
Jerome,2,11,0,0.18181818181818182,0.0
Jim Croce,2,11,3,0.18181818181818182,0.2727272727272727
Current Joys,2,11,0,0.18181818181818182,0.0
LAGOS,2,11,1,0.18181818181818182,0.09090909090909091
Fonseca,10,55,8,0.18181818181818182,0.14545454545454545
Konteks,2,11,2,0.18181818181818182,0.18181818181818182
Lil Pump,4,22,2,0.18181818181818182,0.09090909090909091
Lil Happy Lil Sad,2,11,0,0.18181818181818182,0.0
Fotty Seven,2,11,1,0.18181818181818182,0.09090909090909091
CDB,2,11,2,0.18181818181818182,0.18181818181818182
Yariel,2,11,1,0.18181818181818182,0.09090909090909091
Little Venice,2,11,0,0.18181818181818182,0.0
The Phantoms,2,11,1,0.18181818181818182,0.09090909090909091
Any Given Sin,2,11,1,0.18181818181818182,0.09090909090909091
Esco,2,11,1,0.18181818181818182,0.09090909090909091
Seeb,8,44,10,0.18181818181818182,0.22727272727272727
The Outfield,2,11,1,0.18181818181818182,0.09090909090909091
Shallow Side,2,11,0,0.18181818181818182,0.0
Naughty By Nature,2,11,0,0.18181818181818182,0.0
Foals,2,11,0,0.18181818181818182,0.0
Danzig,2,11,1,0.18181818181818182,0.09090909090909091
Yámana,2,11,1,0.18181818181818182,0.09090909090909091
Fishbach,4,22,3,0.18181818181818182,0.13636363636363635
Lali,2,11,0,0.18181818181818182,0.0
CREAM,2,11,3,0.18181818181818182,0.2727272727272727
Tony Thompson,4,22,4,0.18181818181818182,0.18181818181818182
The Flirts,2,11,0,0.18181818181818182,0.0
Nidža Bleja,10,55,6,0.18181818181818182,0.10909090909090909
Larry 44,2,11,0,0.18181818181818182,0.0
CryJaxx,2,11,1,0.18181818181818182,0.09090909090909091
The Drifters,2,11,0,0.18181818181818182,0.0
Masked Man,2,11,3,0.18181818181818182,0.2727272727272727
Massari,2,11,1,0.18181818181818182,0.09090909090909091
Ø Suave,2,11,0,0.18181818181818182,0.0
T.I.,38,210,30,0.18095238095238095,0.14285714285714285
KAAZE,15,83,5,0.18072289156626506,0.060240963855421686
Kendra Morris,13,72,6,0.18055555555555555,0.08333333333333333
Pekeño 77,9,50,2,0.18,0.04
Bring Me The Horizon,7,39,4,0.1794871794871795,0.10256410256410256
Camel,7,39,3,0.1794871794871795,0.07692307692307693
X Ambassadors,7,39,4,0.1794871794871795,0.10256410256410256
Russ,7,39,5,0.1794871794871795,0.1282051282051282
Frank Ocean,31,173,20,0.1791907514450867,0.11560693641618497
Jhay Cortez,5,28,3,0.17857142857142858,0.10714285714285714
Morbo,10,56,7,0.17857142857142858,0.125
E-40,5,28,4,0.17857142857142858,0.14285714285714285
Big Tymers,5,28,6,0.17857142857142858,0.21428571428571427
D-Rashid,5,28,6,0.17857142857142858,0.21428571428571427
Chuckie,5,28,4,0.17857142857142858,0.14285714285714285
Wave Wave,5,28,5,0.17857142857142858,0.17857142857142858
Maniaxo,5,28,5,0.17857142857142858,0.17857142857142858
Noize Generation,5,28,1,0.17857142857142858,0.03571428571428571
Usher,24,135,12,0.17777777777777778,0.08888888888888889
Rita Ora,8,45,6,0.17777777777777778,0.13333333333333333
The Him,11,62,11,0.1774193548387097,0.1774193548387097
Childish Gambino,22,124,19,0.1774193548387097,0.1532258064516129
Led Zeppelin,29,164,15,0.17682926829268292,0.09146341463414634
Basixx,3,17,3,0.17647058823529413,0.17647058823529413
dvsn,9,51,10,0.17647058823529413,0.19607843137254902
PENTAGON,3,17,1,0.17647058823529413,0.058823529411764705
Reykon,12,68,9,0.17647058823529413,0.1323529411764706
Vicente Garcia,6,34,5,0.17647058823529413,0.14705882352941177
Triple C,3,17,3,0.17647058823529413,0.17647058823529413
Big Big Train,3,17,1,0.17647058823529413,0.058823529411764705
The Human League,3,17,0,0.17647058823529413,0.0
The Blue Stones,3,17,1,0.17647058823529413,0.058823529411764705
Tabitha,3,17,1,0.17647058823529413,0.058823529411764705
The Spinners,3,17,0,0.17647058823529413,0.0
Picture This,3,17,1,0.17647058823529413,0.058823529411764705
Stisema,3,17,5,0.17647058823529413,0.29411764705882354
Wolfine,3,17,2,0.17647058823529413,0.11764705882352941
twuan,3,17,2,0.17647058823529413,0.11764705882352941
Lenny Tavárez,6,34,3,0.17647058823529413,0.08823529411764706
LIZOT,6,34,5,0.17647058823529413,0.14705882352941177
Sabrina Carpenter,6,34,5,0.17647058823529413,0.14705882352941177
NWYR,3,17,2,0.17647058823529413,0.11764705882352941
Simon & Garfunkel,6,34,3,0.17647058823529413,0.08823529411764706
Sunloverz,3,17,4,0.17647058823529413,0.23529411764705882
R-Cue,3,17,1,0.17647058823529413,0.058823529411764705
Gary Clark Jr.,3,17,4,0.17647058823529413,0.23529411764705882
YK Osiris,3,17,1,0.17647058823529413,0.058823529411764705
Zonderling,3,17,2,0.17647058823529413,0.11764705882352941
Dabin,3,17,9,0.17647058823529413,0.5294117647058824
Marshall Marshall,3,17,3,0.17647058823529413,0.17647058823529413
Calum Scott,6,34,2,0.17647058823529413,0.058823529411764705
Jerry Di,3,17,4,0.17647058823529413,0.23529411764705882
Lionel Richie,3,17,3,0.17647058823529413,0.17647058823529413
Franco126,3,17,1,0.17647058823529413,0.058823529411764705
Manu Crooks,3,17,3,0.17647058823529413,0.17647058823529413
K-391,9,51,10,0.17647058823529413,0.19607843137254902
JGS,3,17,0,0.17647058823529413,0.0
Lucas & Steve,13,74,8,0.17567567567567569,0.10810810810810811
De La Ghetto,7,40,5,0.175,0.125
Machine Gun Kelly,7,40,3,0.175,0.075
Kura,7,40,6,0.175,0.15
Marissa Mur,7,40,1,0.175,0.025
DJ Screw & The Screwed Up Click,7,40,2,0.175,0.05
Don Diablo,19,109,11,0.1743119266055046,0.10091743119266056
Café Tacvba,4,23,1,0.17391304347826086,0.043478260869565216
P.O.D.,4,23,9,0.17391304347826086,0.391304347826087
Bill $Aber,4,23,3,0.17391304347826086,0.13043478260869565
Rich Brian,4,23,2,0.17391304347826086,0.08695652173913043
Mac Ayres,4,23,5,0.17391304347826086,0.21739130434782608
Ready For The World,4,23,5,0.17391304347826086,0.21739130434782608
ROËDS,4,23,1,0.17391304347826086,0.043478260869565216
Tyrese,4,23,1,0.17391304347826086,0.043478260869565216
Martin Silence,8,46,6,0.17391304347826086,0.13043478260869565
Dave Mak,4,23,1,0.17391304347826086,0.043478260869565216
The Supremes,4,23,4,0.17391304347826086,0.17391304347826086
María José,4,23,4,0.17391304347826086,0.17391304347826086
Todd Rundgren,4,23,3,0.17391304347826086,0.13043478260869565
Habstrakt,8,46,3,0.17391304347826086,0.06521739130434782
Alfons,4,23,3,0.17391304347826086,0.13043478260869565
Hot Shade,4,23,3,0.17391304347826086,0.13043478260869565
Alex Sensation,4,23,2,0.17391304347826086,0.08695652173913043
Ohio Players,4,23,0,0.17391304347826086,0.0
On June,4,23,4,0.17391304347826086,0.17391304347826086
Def Jef,4,23,3,0.17391304347826086,0.13043478260869565
DJ Kool,4,23,6,0.17391304347826086,0.2608695652173913
James Blake,8,46,6,0.17391304347826086,0.13043478260869565
Deonna Martin,4,23,7,0.17391304347826086,0.30434782608695654
Joss Stone,8,46,4,0.17391304347826086,0.08695652173913043
Junior J,4,23,2,0.17391304347826086,0.08695652173913043
Randy,4,23,2,0.17391304347826086,0.08695652173913043
Demi Lovato,26,150,16,0.17333333333333334,0.10666666666666667
Anthony Hamilton,13,75,12,0.17333333333333334,0.16
ILLENIUM,18,104,10,0.17307692307692307,0.09615384615384616
Tetengo,19,110,11,0.17272727272727273,0.1
Hardwell,79,458,68,0.17248908296943233,0.14847161572052403
Chester Nebro,5,29,3,0.1724137931034483,0.10344827586206896
Van Morrison,10,58,9,0.1724137931034483,0.15517241379310345
Green Assassin Dollar,5,29,4,0.1724137931034483,0.13793103448275862
Crossfade,5,29,3,0.1724137931034483,0.10344827586206896
Ymori,5,29,3,0.1724137931034483,0.10344827586206896
Big Moe,5,29,3,0.1724137931034483,0.10344827586206896
Fredro Starr,5,29,2,0.1724137931034483,0.06896551724137931
Atlas Genius,5,29,3,0.1724137931034483,0.10344827586206896
Jorja Smith,22,128,22,0.171875,0.171875
Green Day,12,70,7,0.17142857142857143,0.1
Robin Thicke,12,70,9,0.17142857142857143,0.12857142857142856
Journey,20,117,17,0.17094017094017094,0.1452991452991453
NGHTMRE,7,41,8,0.17073170731707318,0.1951219512195122
Noah Cyrus,7,41,9,0.17073170731707318,0.21951219512195122
DrefQuila,7,41,1,0.17073170731707318,0.024390243902439025
The Doors,16,94,11,0.1702127659574468,0.11702127659574468
Ricky Martin,8,47,7,0.1702127659574468,0.14893617021276595
Pink Floyd,17,100,14,0.17,0.14
Hillsong Young & Free,9,53,3,0.16981132075471697,0.05660377358490566
Mike Perry,10,59,0,0.1694915254237288,0.0
Chris Goldarg,13,77,4,0.16883116883116883,0.05194805194805195
H.E.R.,13,77,3,0.16883116883116883,0.03896103896103896
Mary J. Blige,15,89,13,0.16853932584269662,0.14606741573033707
Blasterjaxx,32,190,20,0.16842105263157894,0.10526315789473684
Master P,21,125,22,0.168,0.176
Erykah Badu,32,191,29,0.16753926701570682,0.1518324607329843
Olivia O'Brien,2,12,2,0.16666666666666666,0.16666666666666666
Lord Finesse,1,6,1,0.16666666666666666,0.16666666666666666
Elsa y Elmar,4,24,1,0.16666666666666666,0.041666666666666664
NVDES,2,12,1,0.16666666666666666,0.08333333333333333
NOËP,1,6,1,0.16666666666666666,0.16666666666666666
Alban Chela,1,6,1,0.16666666666666666,0.16666666666666666
Mesto,1,6,1,0.16666666666666666,0.16666666666666666
Anna of the North,3,18,2,0.16666666666666666,0.1111111111111111
Steve Andreas,3,18,4,0.16666666666666666,0.2222222222222222
Joe Cocker,2,12,0,0.16666666666666666,0.0
Whiskey Myers,2,12,2,0.16666666666666666,0.16666666666666666
Jeremih,2,12,1,0.16666666666666666,0.08333333333333333
Jens O.,1,6,0,0.16666666666666666,0.0
Cryptic Vision,1,6,0,0.16666666666666666,0.0
Al Stewart,1,6,1,0.16666666666666666,0.16666666666666666
Lourena,3,18,2,0.16666666666666666,0.1111111111111111
Vela,1,6,2,0.16666666666666666,0.3333333333333333
Black Rebel Motorcycle Club,1,6,1,0.16666666666666666,0.16666666666666666
Huey Daze,1,6,0,0.16666666666666666,0.0
Omi Hernandez,1,6,0,0.16666666666666666,0.0
Anthem Academy,1,6,0,0.16666666666666666,0.0
Sam Tinnesz,1,6,1,0.16666666666666666,0.16666666666666666
Olivier Giacomotto,1,6,0,0.16666666666666666,0.0
NJayC,1,6,0,0.16666666666666666,0.0
DJDS,2,12,0,0.16666666666666666,0.0
Annella,4,24,5,0.16666666666666666,0.20833333333333334
Black Swan,1,6,0,0.16666666666666666,0.0
Rob Level,1,6,2,0.16666666666666666,0.3333333333333333
Hook N Sling,4,24,3,0.16666666666666666,0.125
Honors,1,6,0,0.16666666666666666,0.0
Omar,1,6,0,0.16666666666666666,0.0
Los Rumberos,2,12,3,0.16666666666666666,0.25
VINO,1,6,0,0.16666666666666666,0.0
Lola Blanc,1,6,1,0.16666666666666666,0.16666666666666666
Natania,3,18,4,0.16666666666666666,0.2222222222222222
Dadju,3,18,1,0.16666666666666666,0.05555555555555555
Dalsin,1,6,2,0.16666666666666666,0.3333333333333333
Da Silva,1,6,0,0.16666666666666666,0.0
The All-American Rejects,4,24,5,0.16666666666666666,0.20833333333333334
Kut Klose,1,6,0,0.16666666666666666,0.0
Kvmo,1,6,3,0.16666666666666666,0.5
Andy Mineo,2,12,4,0.16666666666666666,0.3333333333333333
Angel Y Khriz,9,54,4,0.16666666666666666,0.07407407407407407
Kuami Eugene,1,6,0,0.16666666666666666,0.0
Blaze U,1,6,1,0.16666666666666666,0.16666666666666666
The Identicals,1,6,1,0.16666666666666666,0.16666666666666666
Catey Shaw,2,12,3,0.16666666666666666,0.25
Martha Reeves & The Vandellas,1,6,2,0.16666666666666666,0.3333333333333333
Aleks Syntek,2,12,5,0.16666666666666666,0.4166666666666667
KreisEckBeats,1,6,0,0.16666666666666666,0.0
Death Remains,1,6,1,0.16666666666666666,0.16666666666666666
Robert Edwards,1,6,0,0.16666666666666666,0.0
Hitimpulse,3,18,2,0.16666666666666666,0.1111111111111111
Valeria Castro,1,6,0,0.16666666666666666,0.0
Valley Hush,1,6,0,0.16666666666666666,0.0
Ehennuhsen,2,12,2,0.16666666666666666,0.16666666666666666
Ecologyk,1,6,1,0.16666666666666666,0.16666666666666666
Diviners,2,12,1,0.16666666666666666,0.08333333333333333
Divolly & Markward,1,6,2,0.16666666666666666,0.3333333333333333
BLAEKER,1,6,0,0.16666666666666666,0.0
John Martin,1,6,0,0.16666666666666666,0.0
Pomegranate Tiger,2,12,1,0.16666666666666666,0.08333333333333333
Henry Mendez,1,6,2,0.16666666666666666,0.3333333333333333
Lodel,1,6,0,0.16666666666666666,0.0
R. Nait,2,12,0,0.16666666666666666,0.0
Jay Swi$h,1,6,2,0.16666666666666666,0.3333333333333333
The Stooges,3,18,5,0.16666666666666666,0.2777777777777778
Gavin DeGraw,1,6,0,0.16666666666666666,0.0
Songhoy Blues,2,12,0,0.16666666666666666,0.0
YUTO,1,6,2,0.16666666666666666,0.3333333333333333
Otis Ubaka,1,6,0,0.16666666666666666,0.0
Circuit Breakers,1,6,0,0.16666666666666666,0.0
ICEKIID,2,12,3,0.16666666666666666,0.25
Vibarco,2,12,1,0.16666666666666666,0.08333333333333333
Bill Callahan,2,12,4,0.16666666666666666,0.3333333333333333
Oxxxymiron,1,6,0,0.16666666666666666,0.0
Kevlah,1,6,1,0.16666666666666666,0.16666666666666666
I$WAAL,1,6,1,0.16666666666666666,0.16666666666666666
Oz,2,12,3,0.16666666666666666,0.25
Brijs,2,12,1,0.16666666666666666,0.08333333333333333
Myron,1,6,1,0.16666666666666666,0.16666666666666666
Mysto & Pizzi,2,12,1,0.16666666666666666,0.08333333333333333
Sonny Fodera,1,6,2,0.16666666666666666,0.3333333333333333
Garbage,5,30,2,0.16666666666666666,0.06666666666666667
Demun Jones,9,54,4,0.16666666666666666,0.07407407407407407
The Proclaimers,1,6,1,0.16666666666666666,0.16666666666666666
Arlissa,1,6,1,0.16666666666666666,0.16666666666666666
Dirty Chime,1,6,0,0.16666666666666666,0.0
Will Smith,1,6,2,0.16666666666666666,0.3333333333333333
BB Nobre,3,18,0,0.16666666666666666,0.0
Felipe Peláez,1,6,0,0.16666666666666666,0.0
Cailin Russo,2,12,1,0.16666666666666666,0.08333333333333333
Fin & Stanley,1,6,2,0.16666666666666666,0.3333333333333333
metr,2,12,1,0.16666666666666666,0.08333333333333333
Michael Bublé,2,12,1,0.16666666666666666,0.08333333333333333
Luke Adamson,1,6,0,0.16666666666666666,0.0
George Michael,5,30,1,0.16666666666666666,0.03333333333333333
Emily Osment,1,6,0,0.16666666666666666,0.0
Onell Diaz,1,6,1,0.16666666666666666,0.16666666666666666
Yeah Boy,1,6,0,0.16666666666666666,0.0
Anti-Flag,3,18,1,0.16666666666666666,0.05555555555555555
Anti-Lilly & Phoniks,2,12,1,0.16666666666666666,0.08333333333333333
King & Joker,1,6,1,0.16666666666666666,0.16666666666666666
Hues Corporation,1,6,1,0.16666666666666666,0.16666666666666666
King Edi K,1,6,1,0.16666666666666666,0.16666666666666666
King Geedorah,1,6,1,0.16666666666666666,0.16666666666666666
Oscar and the Wolf,1,6,2,0.16666666666666666,0.3333333333333333
Declan McKenna,2,12,2,0.16666666666666666,0.16666666666666666
Right Said Fred,1,6,0,0.16666666666666666,0.0
Rigo V,1,6,0,0.16666666666666666,0.0
Biometrix,1,6,1,0.16666666666666666,0.16666666666666666
Qulinez,3,18,3,0.16666666666666666,0.16666666666666666
Jazz Cartier,1,6,2,0.16666666666666666,0.3333333333333333
PlanBe,1,6,1,0.16666666666666666,0.16666666666666666
Silk City,2,12,0,0.16666666666666666,0.0
Silience,1,6,0,0.16666666666666666,0.0
Silent Child,3,18,2,0.16666666666666666,0.1111111111111111
Dr. Fresch,1,6,1,0.16666666666666666,0.16666666666666666
Dr. Alban,1,6,0,0.16666666666666666,0.0
Other Nature,1,6,1,0.16666666666666666,0.16666666666666666
Bronze Radio Return,1,6,2,0.16666666666666666,0.3333333333333333
Broken Witt Rebels,1,6,2,0.16666666666666666,0.3333333333333333
Lucky Luke,13,78,5,0.16666666666666666,0.0641025641025641
Broken Legacy,1,6,1,0.16666666666666666,0.16666666666666666
Broken English,1,6,0,0.16666666666666666,0.0
Gene Loves Jezebel,2,12,1,0.16666666666666666,0.08333333333333333
Luca Schreiner,1,6,1,0.16666666666666666,0.16666666666666666
DJ Mykal,1,6,1,0.16666666666666666,0.16666666666666666
Santa Cruz,1,6,0,0.16666666666666666,0.0
5th Ward Boyz,2,12,1,0.16666666666666666,0.08333333333333333
6 Fingers & Tass,1,6,0,0.16666666666666666,0.0
Wheats,1,6,0,0.16666666666666666,0.0
Whethan,8,48,6,0.16666666666666666,0.125
Baby K,1,6,0,0.16666666666666666,0.0
Jessie Paege,1,6,2,0.16666666666666666,0.3333333333333333
Jeremy Irvine,1,6,1,0.16666666666666666,0.16666666666666666
Nobodys Face,1,6,1,0.16666666666666666,0.16666666666666666
Life Like Charlie,2,12,3,0.16666666666666666,0.25
Life Sounds Nature,1,6,3,0.16666666666666666,0.5
SAAKB,1,6,0,0.16666666666666666,0.0
U.S. Girls,1,6,1,0.16666666666666666,0.16666666666666666
SCNDL,3,18,3,0.16666666666666666,0.16666666666666666
Level 42,2,12,2,0.16666666666666666,0.16666666666666666
Cold War Kids,3,18,4,0.16666666666666666,0.2222222222222222
Rocko,3,18,1,0.16666666666666666,0.05555555555555555
Hana Oceans,1,6,1,0.16666666666666666,0.16666666666666666
American Authors,3,18,1,0.16666666666666666,0.05555555555555555
Alexio,1,6,2,0.16666666666666666,0.3333333333333333
Graeme James,1,6,1,0.16666666666666666,0.16666666666666666
Lil Bike,2,12,1,0.16666666666666666,0.08333333333333333
Leyze,1,6,2,0.16666666666666666,0.3333333333333333
Ali Aka Mind,1,6,1,0.16666666666666666,0.16666666666666666
Labi Siffre,1,6,2,0.16666666666666666,0.3333333333333333
Lacee,1,6,0,0.16666666666666666,0.0
Norman Greenbaum,1,6,0,0.16666666666666666,0.0
Not3s,1,6,2,0.16666666666666666,0.3333333333333333
La Plebada,1,6,0,0.16666666666666666,0.0
Notion,2,12,2,0.16666666666666666,0.16666666666666666
Static-X,1,6,2,0.16666666666666666,0.3333333333333333
Statistix,1,6,2,0.16666666666666666,0.3333333333333333
The Last Skeptik,2,12,3,0.16666666666666666,0.25
Elemeno P,3,18,6,0.16666666666666666,0.3333333333333333
Lenier,1,6,2,0.16666666666666666,0.3333333333333333
Leo Dynamic1,2,12,0,0.16666666666666666,0.0
AmPm,1,6,2,0.16666666666666666,0.3333333333333333
No Friends,1,6,1,0.16666666666666666,0.16666666666666666
No Mana,1,6,3,0.16666666666666666,0.5
Noah,1,6,1,0.16666666666666666,0.16666666666666666
HIIO,3,18,1,0.16666666666666666,0.05555555555555555
HIM,3,18,7,0.16666666666666666,0.3888888888888889
Gusi,1,6,0,0.16666666666666666,0.0
Ultra Shock,1,6,1,0.16666666666666666,0.16666666666666666
Bokki,1,6,2,0.16666666666666666,0.3333333333333333
Sly Fox,1,6,0,0.16666666666666666,0.0
Canabision,1,6,3,0.16666666666666666,0.5
Weltmusik,1,6,0,0.16666666666666666,0.0
Melii,1,6,0,0.16666666666666666,0.0
Zac Samuel,1,6,0,0.16666666666666666,0.0
Yusuf / Cat Stevens,1,6,2,0.16666666666666666,0.3333333333333333
Z-Ro,1,6,0,0.16666666666666666,0.0
Darrell Cole,1,6,1,0.16666666666666666,0.16666666666666666
Danny Darko,1,6,0,0.16666666666666666,0.0
Gustavo Cerati,1,6,1,0.16666666666666666,0.16666666666666666
Dark Culture,1,6,0,0.16666666666666666,0.0
Lewka,1,6,1,0.16666666666666666,0.16666666666666666
Jermaine Jackson,2,12,0,0.16666666666666666,0.0
Chloe Bodur,1,6,2,0.16666666666666666,0.3333333333333333
Fanvel,1,6,1,0.16666666666666666,0.16666666666666666
Tom Walker,4,24,1,0.16666666666666666,0.041666666666666664
Tommy Genesis,1,6,1,0.16666666666666666,0.16666666666666666
Matrix & Futurebound,1,6,1,0.16666666666666666,0.16666666666666666
Руслан Черный,3,18,4,0.16666666666666666,0.2222222222222222
Jhaye,1,6,0,0.16666666666666666,0.0
Syden,1,6,0,0.16666666666666666,0.0
The Snake Corps,1,6,1,0.16666666666666666,0.16666666666666666
Joe Walsh,4,24,3,0.16666666666666666,0.125
The Voidz,2,12,3,0.16666666666666666,0.25
Jess Glynne,6,36,1,0.16666666666666666,0.027777777777777776
Slight Diversion,1,6,0,0.16666666666666666,0.0
The Lounge Lizards,2,12,1,0.16666666666666666,0.08333333333333333
Lit Lords,1,6,0,0.16666666666666666,0.0
Good Charlotte,1,6,0,0.16666666666666666,0.0
SOSANDLOW,1,6,0,0.16666666666666666,0.0
Young Bombs,1,6,0,0.16666666666666666,0.0
Charlie Who?,3,18,3,0.16666666666666666,0.16666666666666666
Efrén Atienza,2,12,3,0.16666666666666666,0.25
Rodrigo Gouveia,1,6,0,0.16666666666666666,0.0
Rodrigo y Gabriela,1,6,1,0.16666666666666666,0.16666666666666666
Royal Deluxe,4,24,0,0.16666666666666666,0.0
Andy Gibb,2,12,1,0.16666666666666666,0.08333333333333333
Blind Ego,1,6,1,0.16666666666666666,0.16666666666666666
Blind Melon,1,6,2,0.16666666666666666,0.3333333333333333
Bloc Party,1,6,1,0.16666666666666666,0.16666666666666666
BlocBoy JB,1,6,1,0.16666666666666666,0.16666666666666666
Heltah Skeltah,1,6,0,0.16666666666666666,0.0
Alex Guesta,1,6,2,0.16666666666666666,0.3333333333333333
Aldo Nova,1,6,1,0.16666666666666666,0.16666666666666666
Giulia Becker,1,6,1,0.16666666666666666,0.16666666666666666
BoyPanda,2,12,0,0.16666666666666666,0.0
Lit,1,6,1,0.16666666666666666,0.16666666666666666
Oddisee,5,30,5,0.16666666666666666,0.16666666666666666
Hey Guy,1,6,1,0.16666666666666666,0.16666666666666666
Robinson,2,12,0,0.16666666666666666,0.0
Pinegrove,1,6,0,0.16666666666666666,0.0
Andrew Sound,1,6,0,0.16666666666666666,0.0
SHKHR,1,6,2,0.16666666666666666,0.3333333333333333
SIZE-S,1,6,1,0.16666666666666666,0.16666666666666666
Gordo Sarkasmus,1,6,0,0.16666666666666666,0.0
Damien,1,6,1,0.16666666666666666,0.16666666666666666
AlexEps,1,6,2,0.16666666666666666,0.3333333333333333
Alexey Shelygin,1,6,0,0.16666666666666666,0.0
Notre Dame,2,12,2,0.16666666666666666,0.16666666666666666
Nova y Jory,4,24,0,0.16666666666666666,0.0
BluntOne,1,6,2,0.16666666666666666,0.3333333333333333
VHS Collection,2,12,2,0.16666666666666666,0.16666666666666666
Haus of Panda,3,18,2,0.16666666666666666,0.1111111111111111
Route 94,2,12,3,0.16666666666666666,0.25
Harry Doe,1,6,0,0.16666666666666666,0.0
Harvio,3,18,0,0.16666666666666666,0.0
Hasan.K,1,6,1,0.16666666666666666,0.16666666666666666
7ru7h,1,6,0,0.16666666666666666,0.0
reezy,1,6,2,0.16666666666666666,0.3333333333333333
Sir Felix,1,6,0,0.16666666666666666,0.0
Marwan Soulflow,1,6,2,0.16666666666666666,0.3333333333333333
Marvin Sapp,1,6,0,0.16666666666666666,0.0
Tarun,1,6,1,0.16666666666666666,0.16666666666666666
Hayley Kiyoko,3,18,3,0.16666666666666666,0.16666666666666666
Hayley Gene Penner,1,6,0,0.16666666666666666,0.0
VENVS,1,6,1,0.16666666666666666,0.16666666666666666
LOthief,2,12,3,0.16666666666666666,0.25
Tygers Of Pan Tang,1,6,2,0.16666666666666666,0.3333333333333333
Elin Bergman,1,6,1,0.16666666666666666,0.16666666666666666
Elias Ahmad,1,6,0,0.16666666666666666,0.0
Spice Girls,1,6,2,0.16666666666666666,0.3333333333333333
Lil Xan,1,6,1,0.16666666666666666,0.16666666666666666
New Jackson,1,6,1,0.16666666666666666,0.16666666666666666
Zoop One,1,6,1,0.16666666666666666,0.16666666666666666
Rompasso,1,6,1,0.16666666666666666,0.16666666666666666
Fouk,4,24,9,0.16666666666666666,0.375
Shaman's Harvest,2,12,0,0.16666666666666666,0.0
Milo Manheim,1,6,0,0.16666666666666666,0.0
JMSN,1,6,0,0.16666666666666666,0.0
